Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Occupation_Numeric,Credit_History_Age_Numeric,Payment_of_Min_Amount_Numeric,Payment_Behaviour_Numeric,Credit_Score_Numeric
14.0,39887.22,3224.935,9,9,16,5.0,54,19.0,17.25,14.0,3119.6,36.970607622016786,133.47084524343262,96.09548,342.9272,6,144,1,2,3
14.0,27796.42,2300.3683333333333,6,5,16,2.0,20,13.0,11.85,7.0,1073.94,37.156218738469946,36.067631284149755,75.7179,368.2513,14,324,1,2,2
14.0,8882.47,555.2058333333333,9,7,19,7.0,44,15.0,15.62,7.0,1580.91,31.197005533665283,27.528699132623988,70.7741,247.21779,12,228,1,4,3
14.0,35133.49,2883.790833333333,4,4,8,3.0,16,12.0,7.29,4.0,586.6,27.14167480446452,45.8929106371186,56.832542,435.65363,3,0,1,2,2
14.0,35133.49,2883.790833333333,4,4,8,3.0,16,12.0,7.29,4.0,586.6,36.06031824640175,45.8929106371186,101.13658,411.34958,3,336,1,6,2
14.0,35133.49,2883.790833333333,4,4,8,3.0,16,12.0,7.29,4.0,586.6,38.002487048056814,45.8929106371186,237.13533,295.35083,3,336,1,4,2
14.0,29233.34,2637.1116666666667,6,4,17,3.0,9,11.0,8.9,5.0,96.31,25.93997597335012,50.71445531569465,204.32683,278.6699,9,108,1,6,2
14.0,29233.34,2637.1116666666667,6,4,17,3.0,9,13.0,8.9,5.0,96.31,28.36976094454112,50.71445531569465,153.99686,348.99985,9,108,1,4,2
14.0,29233.34,2637.1116666666667,6,4,17,3.0,4,13.0,8.9,5.0,96.31,36.093769112888594,50.71445531569465,206.78969,276.20703,9,108,1,6,2
14.0,29233.34,2637.1116666666667,6,4,17,3.0,9,13.0,8.9,5.0,96.31,29.278738667879022,50.71445531569465,52.61005,420.38666,9,108,1,1,2
14.0,29233.34,2637.1116666666667,6,4,17,3.0,9,16.0,8.9,5.0,96.31,30.34585716055401,50.71445531569465,142.73041,350.2663,9,108,1,5,2
14.0,29233.34,2637.1116666666667,6,4,17,3.0,9,13.0,8.9,5.0,96.31,33.036581395879786,50.71445531569465,118.18651,364.8102,9,108,1,6,2
14.0,29233.34,2637.1116666666667,6,4,17,3.0,9,11.0,8.9,5.0,96.31,28.26216337344512,50.71445531569465,232.83089,250.16582,9,108,1,6,2
14.0,32128.24,2693.353333333333,6,4,12,7.0,16,20.0,10.61,8.0,465.04,36.61543379504429,103.45621325048674,239.30177,216.57735,1,84,1,4,2
14.0,32128.24,2693.353333333333,6,4,12,7.0,19,20.0,10.61,8.0,465.04,29.849529417918426,103.45621325048674,137.6555,288.2236,1,84,1,1,2
14.0,15544.47,1030.3725,8,5,32,5.0,34,23.0,25.11,8.0,2909.71,30.88178095763308,35.256798302336925,129.71353,228.06693,13,12,1,6,2
14.0,15544.47,1030.3725,8,5,32,5.0,38,26.0,25.11,8.0,2909.71,37.21163915161181,35.256798302336925,87.09077,270.6897,13,12,1,4,2
14.0,15544.47,1030.3725,8,5,32,5.0,34,26.0,25.11,4.0,2909.71,34.035573953521215,35.256798302336925,125.23406,232.54639,13,12,1,4,2
14.0,15544.47,1030.3725,8,5,32,5.0,34,23.0,25.11,8.0,2909.71,24.468333388470782,35.256798302336925,135.01617,222.76427,8,12,1,4,2
14.0,15544.47,1030.3725,8,5,32,5.0,34,22.0,25.11,8.0,2909.71,34.42975239415453,35.256798302336925,72.24402,285.53644,13,12,1,4,2
14.0,15544.47,1030.3725,8,5,32,5.0,34,21.0,25.11,12.0,2909.71,25.113042261548127,35.256798302336925,82.32418,265.45627,13,12,3,5,2
14.0,90592.02,7433.335,4,7,18,4.0,27,23.0,15.11,8.0,831.18,34.76698555351726,154.43297303423154,242.53969,626.36084,9,204,1,5,1
14.0,30118.94,2473.9116666666664,6,6,34,3.0,26,25.0,7.16,11.0,1693.64,30.39433122576177,44.81642046832427,25.465906,417.10883,8,216,1,3,3
14.0,9387.13,866.2608333333333,7,7,13,6.0,24,8.0,18.12,6.0,1604.6,39.76027087419152,41.932233965046784,33.83591,270.85794,5,144,1,1,2
14.0,9387.13,866.2608333333333,7,7,13,6.0,25,8.0,18.12,6.0,1604.6,24.8578799043548,41.932233965046784,64.07316,260.6207,5,144,1,5,2
14.0,9387.13,866.2608333333333,7,7,13,6.0,26,8.0,18.12,6.0,1604.6,30.19845904529077,41.932233965046784,20.441105,284.25275,5,144,1,6,2
14.0,9387.13,866.2608333333333,7,7,13,6.0,23,8.0,12.12,6.0,1604.6,22.366938649722233,41.932233965046784,41.71546,282.9784,5,144,1,5,2
14.0,18235.61,1313.6341666666667,8,6,9,2.0,27,13.0,1.29,4.0,1259.92,28.006025839691187,22.99100814982672,61.257366,337.11505,10,108,1,6,3
14.0,18235.61,1313.6341666666667,8,6,9,2.0,24,14.0,8.29,4.0,1259.92,25.28426056944143,22.99100814982672,94.34386,304.02856,10,108,1,4,3
14.0,18235.61,1313.6341666666667,8,6,9,2.0,24,14.0,8.29,4.0,1259.92,32.16892141924088,22.99100814982672,43.44387,314.92853,10,120,1,2,2
14.0,46563.27,3750.2725000000014,7,7,33,2.0,22,24.0,14.45,7.0,2390.74,29.20619440933301,64.73305243442155,79.74572,480.5485,14,132,1,2,3
14.0,46563.27,3750.2725000000014,7,7,33,2.0,22,23.0,10.45,7.0,2390.74,26.803071345476173,64.73305243442155,101.74612,458.54807,14,132,1,2,2
14.0,30363.73,2734.310833333333,8,6,19,5.0,29,10.0,15.84,6.0,1394.85,32.89806447740225,100.12153622049021,73.17188,380.13766,4,96,3,5,2
14.0,30363.73,2734.310833333333,8,6,19,5.0,24,13.0,15.84,6.0,1394.85,32.62430515275279,100.12153622049021,117.44647,345.86307,4,96,1,4,2
14.0,43782.45,3543.5375,6,9,25,8.0,32,15.0,3.88,12.0,3468.25,36.43434407398039,240.66473882248508,109.13376,254.55525,15,0,1,2,2
